performance,points
2531.00,1400
2533.00,1399
2534.00,1398
2536.00,1397
2537.00,1396
2539.00,1395
2541.00,1394
2542.00,1393
2544.00,1392
2545.00,1391
2547.00,1390
2548.00,1389
2550.00,1388
2552.00,1387
2553.00,1386
2555.00,1385
2556.00,1384
2558.00,1383
2559.00,1382
2561.00,1381
2563.00,1380
2564.00,1379
2566.00,1378
2567.00,1377
2569.00,1376
2570.00,1375
2572.00,1374
2574.00,1373
2575.00,1372
2577.00,1371
2578.00,1370
2580.00,1369
2581.00,1368
2583.00,1367
2585.00,1366
2586.00,1365
2588.00,1364
2589.00,1363
2591.00,1362
2593.00,1361
2594.00,1360
2596.00,1359
2597.00,1358
2599.00,1357
2600.00,1356
2602.00,1355
2604.00,1354
2605.00,1353
2607.00,1352
2608.00,1351
2610.00,1350
2612.00,1349
2613.00,1348
2615.00,1347
2616.00,1346
2618.00,1345
2620.00,1344
2621.00,1343
2623.00,1342
2624.00,1341
2626.00,1340
2628.00,1339
2629.00,1338
2631.00,1337
2632.00,1336
2634.00,1335
2636.00,1334
2637.00,1333
2639.00,1332
2640.00,1331
2642.00,1330
2644.00,1329
2645.00,1328
2647.00,1327
2648.00,1326
2650.00,1325
2652.00,1324
2653.00,1323
2655.00,1322
2656.00,1321
2658.00,1320
2660.00,1319
2661.00,1318
2663.00,1317
2664.00,1316
2666.00,1315
2668.00,1314
2669.00,1313
2671.00,1312
2672.00,1311
2674.00,1310
2676.00,1309
2677.00,1308
2679.00,1307
2681.00,1306
2682.00,1305
2684.00,1304
2685.00,1303
2687.00,1302
2689.00,1301
2690.00,1300
2692.00,1299
2694.00,1298
2695.00,1297
2697.00,1296
2698.00,1295
2700.00,1294
2702.00,1293
2703.00,1292
2705.00,1291
2707.00,1290
2708.00,1289
2710.00,1288
2711.00,1287
2713.00,1286
2715.00,1285
2716.00,1284
2718.00,1283
2720.00,1282
2721.00,1281
2723.00,1280
2724.00,1279
2726.00,1278
2728.00,1277
2729.00,1276
2731.00,1275
2733.00,1274
2734.00,1273
2736.00,1272
2738.00,1271
2739.00,1270
2741.00,1269
2742.00,1268
2744.00,1267
2746.00,1266
2747.00,1265
2749.00,1264
2751.00,1263
2752.00,1262
2754.00,1261
2756.00,1260
2757.00,1259
2759.00,1258
2761.00,1257
2762.00,1256
2764.00,1255
2766.00,1254
2767.00,1253
2769.00,1252
2770.00,1251
2772.00,1250
2774.00,1249
2775.00,1248
2777.00,1247
2779.00,1246
2780.00,1245
2782.00,1244
2784.00,1243
2785.00,1242
2787.00,1241
2789.00,1240
2790.00,1239
2792.00,1238
2794.00,1237
2795.00,1236
2797.00,1235
2799.00,1234
2800.00,1233
2802.00,1232
2804.00,1231
2805.00,1230
2807.00,1229
2809.00,1228
2810.00,1227
2812.00,1226
2814.00,1225
2815.00,1224
2817.00,1223
2819.00,1222
2820.00,1221
2822.00,1220
2824.00,1219
2825.00,1218
2827.00,1217
2829.00,1216
2830.00,1215
2832.00,1214
2834.00,1213
2835.00,1212
2837.00,1211
2839.00,1210
2840.00,1209
2842.00,1208
2844.00,1207
2846.00,1206
2847.00,1205
2849.00,1204
2851.00,1203
2852.00,1202
2854.00,1201
2856.00,1200
2857.00,1199
2859.00,1198
2861.00,1197
2862.00,1196
2864.00,1195
2866.00,1194
2867.00,1193
2869.00,1192
2871.00,1191
2873.00,1190
2874.00,1189
2876.00,1188
2878.00,1187
2879.00,1186
2881.00,1185
2883.00,1184
2884.00,1183
2886.00,1182
2888.00,1181
2890.00,1180
2891.00,1179
2893.00,1178
2895.00,1177
2896.00,1176
2898.00,1175
2900.00,1174
2901.00,1173
2903.00,1172
2905.00,1171
2907.00,1170
2908.00,1169
2910.00,1168
2912.00,1167
2913.00,1166
2915.00,1165
2917.00,1164
2919.00,1163
2920.00,1162
2922.00,1161
2924.00,1160
2925.00,1159
2927.00,1158
2929.00,1157
2931.00,1156
2932.00,1155
2934.00,1154
2936.00,1153
2937.00,1152
2939.00,1151
2941.00,1150
2943.00,1149
2944.00,1148
2946.00,1147
2948.00,1146
2949.00,1145
2951.00,1144
2953.00,1143
2955.00,1142
2956.00,1141
2958.00,1140
2960.00,1139
2962.00,1138
2963.00,1137
2965.00,1136
2967.00,1135
2969.00,1134
2970.00,1133
2972.00,1132
2974.00,1131
2975.00,1130
2977.00,1129
2979.00,1128
2981.00,1127
2982.00,1126
2984.00,1125
2986.00,1124
2988.00,1123
2989.00,1122
2991.00,1121
2993.00,1120
2995.00,1119
2996.00,1118
2998.00,1117
3000.00,1116
3002.00,1115
3003.00,1114
3005.00,1113
3007.00,1112
3009.00,1111
3010.00,1110
3012.00,1109
3014.00,1108
3016.00,1107
3017.00,1106
3019.00,1105
3021.00,1104
3023.00,1103
3024.00,1102
3026.00,1101
3028.00,1100
3030.00,1099
3032.00,1098
3033.00,1097
3035.00,1096
3037.00,1095
3039.00,1094
3040.00,1093
3042.00,1092
3044.00,1091
3046.00,1090
3047.00,1089
3049.00,1088
3051.00,1087
3053.00,1086
3055.00,1085
3056.00,1084
3058.00,1083
3060.00,1082
3062.00,1081
3063.00,1080
3065.00,1079
3067.00,1078
3069.00,1077
3071.00,1076
3072.00,1075
3074.00,1074
3076.00,1073
3078.00,1072
3079.00,1071
3081.00,1070
3083.00,1069
3085.00,1068
3087.00,1067
3088.00,1066
3090.00,1065
3092.00,1064
3094.00,1063
3096.00,1062
3097.00,1061
3099.00,1060
3101.00,1059
3103.00,1058
3105.00,1057
3106.00,1056
3108.00,1055
3110.00,1054
3112.00,1053
3114.00,1052
3115.00,1051
3117.00,1050
3119.00,1049
3121.00,1048
3123.00,1047
3124.00,1046
3126.00,1045
3128.00,1044
3130.00,1043
3132.00,1042
3133.00,1041
3135.00,1040
3137.00,1039
3139.00,1038
3141.00,1037
3142.00,1036
3144.00,1035
3146.00,1034
3148.00,1033
3150.00,1032
3152.00,1031
3153.00,1030
3155.00,1029
3157.00,1028
3159.00,1027
3161.00,1026
3162.00,1025
3164.00,1024
3166.00,1023
3168.00,1022
3170.00,1021
3172.00,1020
3173.00,1019
3175.00,1018
3177.00,1017
3179.00,1016
3181.00,1015
3183.00,1014
3184.00,1013
3186.00,1012
3188.00,1011
3190.00,1010
3192.00,1009
3194.00,1008
3195.00,1007
3197.00,1006
3199.00,1005
3201.00,1004
3203.00,1003
3205.00,1002
3207.00,1001
3208.00,1000
3210.00,999
3212.00,998
3214.00,997
3216.00,996
3218.00,995
3219.00,994
3221.00,993
3223.00,992
3225.00,991
3227.00,990
3229.00,989
3231.00,988
3232.00,987
3234.00,986
3236.00,985
3238.00,984
3240.00,983
3242.00,982
3244.00,981
3246.00,980
3247.00,979
3249.00,978
3251.00,977
3253.00,976
3255.00,975
3257.00,974
3259.00,973
3261.00,972
3262.00,971
3264.00,970
3266.00,969
3268.00,968
3270.00,967
3272.00,966
3274.00,965
3276.00,964
3277.00,963
3279.00,962
3281.00,961
3283.00,960
3285.00,959
3287.00,958
3289.00,957
3291.00,956
3293.00,955
3294.00,954
3296.00,953
3298.00,952
3300.00,951
3302.00,950
3304.00,949
3306.00,948
3308.00,947
3310.00,946
3311.00,945
3313.00,944
3315.00,943
3317.00,942
3319.00,941
3321.00,940
3323.00,939
3325.00,938
3327.00,937
3329.00,936
3331.00,935
3332.00,934
3334.00,933
3336.00,932
3338.00,931
3340.00,930
3342.00,929
3344.00,928
3346.00,927
3348.00,926
3350.00,925
3352.00,924
3354.00,923
3355.00,922
3357.00,921
3359.00,920
3361.00,919
3363.00,918
3365.00,917
3367.00,916
3369.00,915
3371.00,914
3373.00,913
3375.00,912
3377.00,911
3379.00,910
3381.00,909
3383.00,908
3384.00,907
3386.00,906
3388.00,905
3390.00,904
3392.00,903
3394.00,902
3396.00,901
3398.00,900
3400.00,899
3402.00,898
3404.00,897
3406.00,896
3408.00,895
3410.00,894
3412.00,893
3414.00,892
3416.00,891
3418.00,890
3420.00,889
3422.00,888
3423.00,887
3425.00,886
3427.00,885
3429.00,884
3431.00,883
3433.00,882
3435.00,881
3437.00,880
3439.00,879
3441.00,878
3443.00,877
3445.00,876
3447.00,875
3449.00,874
3451.00,873
3453.00,872
3455.00,871
3457.00,870
3459.00,869
3461.00,868
3463.00,867
3465.00,866
3467.00,865
3469.00,864
3471.00,863
3473.00,862
3475.00,861
3477.00,860
3479.00,859
3481.00,858
3483.00,857
3485.00,856
3487.00,855
3489.00,854
3491.00,853
3493.00,852
3495.00,851
3497.00,850
3499.00,849
3501.00,848
3503.00,847
3505.00,846
3507.00,845
3509.00,844
3511.00,843
3513.00,842
3515.00,841
3517.00,840
3519.00,839
3521.00,838
3523.00,837
3525.00,836
3527.00,835
3529.00,834
3531.00,833
3533.00,832
3535.00,831
3537.00,830
3539.00,829
3541.00,828
3543.00,827
3545.00,826
3547.00,825
3549.00,824
3551.00,823
3553.00,822
3555.00,821
3558.00,820
3560.00,819
3562.00,818
3564.00,817
3566.00,816
3568.00,815
3570.00,814
3572.00,813
3574.00,812
3576.00,811
3578.00,810
